Motivo Teletrabajo,Provincia Contrato (grupo),Finalizado,Provincia Contrato,Contratos,Anio Fecha Inicio Teletrabajo,Canton Contrato,Estado Teletrabajo,Fecha Consulta,Genero,Mes Fecha Inicio Teletrabajo,Modo Ejecucion,Ruc Empresa
Emergente,GUAYAS,Finalizado,GUAYAS,11,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79032E+12
Habitual,GUAYAS,Finalizado,GUAYAS,1,,GUAYAQUIL,Activo,14/11/2022,Masculino,,Teletrabajo,9.92408E+11
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79219E+12
Emergente,IMBABURA,Finalizado,IMBABURA,1,2020,ANTONIO ANTE,Activo,14/11/2022,Femenino,3,Teletrabajo,1.09173E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79269E+12
Habitual,GUAYAS,Finalizado,GUAYAS,5,2019,GUAYAQUIL,Activo,14/11/2022,Femenino,2,Teletrabajo,1.79126E+12
Habitual,PICHINCHA,Vigente,PICHINCHA,1,2022,QUITO,Activo,14/11/2022,Masculino,9,Teletrabajo,9.90335E+11
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,7,Teletrabajo,1.79181E+12
Emergente,MANABI,Vigente,MANABI,1,2020,MONTECRISTI,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79232E+12
Habitual,ORELLANA,Finalizado,ORELLANA,1,,LA JOYA DE LOS SACHAS,Activo,14/11/2022,Masculino,,Teletrabajo,1.79126E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2022,QUITO,Activo,14/11/2022,Masculino,10,Teletrabajo,9.93353E+11
Emergente,GUAYAS,Finalizado,GUAYAS,2,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,3,Teletrabajo,9.92348E+11
Emergente,PICHINCHA,Finalizado,PICHINCHA,2,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79133E+12
